'id';'name';'photo'
'13.1';'Энергия фотона';'photo-182670376_457239600'
'13.2';'Импульс фотона';'photo-182670376_457239599'
'13.3';'Масса фотона';'photo-182670376_457239598'
'13.4';'Уравнение Эйнштейна для фотоэффекта';'photo-182670376_457239597'
'13.5';'Красная граница фотоэффекта';'photo-182670376_457239596'
'13.6';'Энергия фотоэлектронов';'photo-182670376_457239595'
'13.7';'Условие квантования орбит';'photo-182670376_457239594'
'13.8';'Спектр атома водорода';'photo-182670376_457239593'
